word,bits,freq
aahed,4.2800674,148.254777
aalii,3.7327492,6.433693
aapas,3.9779196,3.201844
aargh,3.9866195,22.739724
aarti,4.6434913,53.961094
abaca,3.0086792,1441.310265
abaci,3.7222047,291.044872
aback,3.3388903,9348.001844
abacs,4.142506,10.185400
abaft,3.4568808,2007.227670
abaht,3.648006,115.732388
abaka,2.9244947,10.372478
abamp,3.4404664,6.836680
aband,3.8244362,181.041045
abase,4.5183444,921.725468
abash,3.883032,317.420763
abask,3.8231637,1.767259
abate,4.3529468,15337.367625
abaya,2.9792533,169.518960
abbas,3.5455344,489.534306
abbed,3.9858813,11.206301
abbes,4.5841784,116.919942
abbey,3.9684281,20241.128787
abbot,3.8424122,21403.893912
abcee,4.1109166,1.366091
abeam,3.9613695,1002.025239
abear,4.3311195,93.364352
abeat,4.2235403,33.721853
abeer,4.3956103,13.430441
abele,4.293819,41.160526
abeng,4.4636126,17.839313
abers,5.410463,19.768669
abets,5.304335,1198.205146
abeys,4.9687877,1.291671
abhor,4.470681,5679.266113
abide,4.878924,43666.750956
abies,5.5251627,1277.201524
abius,4.9920464,15.689530
abjad,3.062265,44.194323
abjud,3.5594401,0.0
abled,4.8728375,846.074424
abler,5.098991,2431.665015
ables,5.470711,1069.605239
ablet,5.043465,39.534351
ablow,4.183636,43.165788
abmho,4.1147823,4.074762
abnet,5.0176454,3.749591
abode,4.8606486,38665.580996
abohm,4.147688,8.870058
aboil,4.772514,51.613668
aboma,3.7966895,8.848635
aboon,3.9335334,281.146711
abord,4.7283883,714.939434
abore,5.1672406,394.642962
aborn,4.804995,8.882408
abort,4.85957,5945.326534
about,4.5653157,9888351.548801
above,4.410289,2800516.664993
abram,3.894665,68.498211
abray,3.9808602,3.431779
abrim,4.634497,30.682539
abrin,4.8398933,175.739214
abris,5.319921,41.728894
absey,5.009104,4.757489
absit,4.934257,166.736804
abuna,3.7828934,46.339824
abune,4.812089,136.988461
abura,3.922998,38.963804
aburn,4.5733514,4.918964
abuse,5.0202193,257215.843859
abuts,4.9496884,2548.771483
abuzz,2.8431802,585.803240
abyes,5.1486506,1.779777
abysm,4.2952495,232.643903
abyss,3.9648216,17684.529208
acais,4.603992,3.302257
acara,3.493504,56.413827
acari,4.20856,198.143477
accas,3.6592956,6.731831
accha,2.8372948,24.406853
accoy,3.7883492,2.690104
accra,3.303978,33.081800
acedy,4.6092887,3.386220
acene,4.3699026,40.591418
acerb,4.699945,74.574674
acers,5.5050473,113.086775
aceta,4.298877,33.053082
achar,3.8373952,84.299154
ached,4.5878053,12555.232063
acher,4.841157,125.750753
aches,5.16847,8101.375115
achey,4.5707617,23.117559
achoo,3.6583753,23.138052
acids,5.0716267,202278.698852
acidy,4.473381,58.030396
acies,5.6207757,347.747531
acing,4.411028,296.085066
acini,3.981539,2002.131596
ackee,4.0876765,129.652374
acker,4.820753,187.480201
acmes,5.321863,26.756942
acmic,3.6987445,4.986440
acned,4.9513655,36.672372
acnes,5.5295863,486.696883
acock,3.6185539,36.223023
acoel,5.183619,32.211847
acold,4.7282915,46.942103
acone,5.131454,16.555935
acorn,4.9149623,4889.270999
acral,4.2072477,314.753815
acred,5.1362863,195.294985
acres,5.711391,431679.827963
acrid,4.879715,7062.799350
acron,4.942363,51.820677
acros,5.412049,316.677073
acryl,4.570501,165.755717
actas,4.4882393,138.691752
acted,4.92728,224601.666667
actin,4.764815,14828.970993
acton,4.752242,279.844156
actor,4.921917,98910.990710
actus,4.9867,2181.029750
acute,4.959793,265949.880740
acyls,4.877698,28.761501
adage,4.141991,7587.171816
adapt,3.8838487,67309.677081
adats,4.5600023,16.526358
adawn,3.559095,1.514842
adaws,4.029313,1.258549
adays,4.2491217,332.843774
adbot,4.496768,1.428990
addas,3.7268255,32.695203
addax,2.5143328,75.009888
added,3.4992979,1131327.033314
adder,4.405193,5558.733980
addin,3.9896336,279.124366
addio,4.041528,115.833598
addle,4.3044972,433.953964
addra,3.359614,7.779345
adead,3.5767968,26.774958
adeem,4.1934075,47.470504
adept,4.7732124,14093.179104
adhan,3.7241812,89.416827
adhoc,4.190212,408.372925
adieu,4.969653,7101.758122
adios,5.355202,239.277553
adits,5.3072324,1242.272543
adlib,4.4952297,34.712431
adman,3.8583164,274.270244
admen,4.8949165,199.953174
admin,4.597963,8331.693910
admit,4.6377816,256365.407636
admix,3.8768408,170.749873
adnex,4.386073,9.224193
adobe,4.826584,8260.625149
adobo,3.7281244,273.351579
adoon,4.0882263,5.957539
adopt,4.6424866,224538.579550
adorb,4.61184,1.350675
adore,5.310265,13532.025966
adorn,4.9575043,14194.581245
adown,4.3068905,1082.432940
adoze,4.457267,4.133064
adrad,3.5273895,31.309660
adraw,3.7730298,5.482133
adred,4.525876,16.555001
adret,5.333996,14.328768
adrip,4.7707705,22.840680
adsum,4.5685873,54.445217
aduki,4.287741,39.997264
adult,4.6521497,352473.093691
adunc,4.329137,3.946145
adust,4.8437595,175.980705
advew,4.0009327,1.124072
advts,4.5822787,252.587010
adyta,3.8136,36.412526
adyts,4.9115252,3.831355
adzed,3.6135578,147.904921
adzes,4.8433294,1209.707752
aecia,4.493014,368.753308
aedes,5.021938,259.853757
aeger,4.5437627,119.847410
aegis,5.5305057,7559.724438
aeons,5.843099,1610.811095
aerie,5.0311346,430.580992
aeros,6.003457,57.037793
aesir,5.7592993,14.488283
aevum,4.3147216,135.657844
afald,3.7133422,7.544790
afanc,3.49718,17.841683
afara,3.2345943,20.389870
afars,4.375233,3.393617
afear,4.180032,17.599964
affix,2.8898647,9154.001915
affly,3.4024177,99.011646
afion,4.5781393,20.118429
afire,5.0387187,3113.708720
afizz,2.9206762,1.127566
aflaj,3.061047,25.635206
aflap,3.5643559,6.599529
aflow,4.035895,40.495433
afoam,3.6728623,22.883973
afoot,3.8339086,6980.311146
afore,5.015194,10993.652967
afoul,4.395526,2867.255132
afret,5.0595927,8.453504
afrit,4.7536244,39.383136
afros,5.1666346,45.241318
after,4.9321785,6412205.221464
aftos,4.9738317,13.812310
again,4.0366483,2563947.892268
agals,4.4307885,4.400616
agama,3.0348997,277.760211
agami,3.7520285,28.985803
agamy,3.571994,8.669214
agape,4.105534,3256.563760
agars,4.526343,289.630914
agasp,3.91924,7.834377
agast,4.1788425,111.847155
agate,4.35188,6007.123924
agaty,3.8193624,2.136639
agave,3.7056055,1591.951585
agaze,3.6067128,29.069842
agbas,4.0615134,0.092992
agene,4.2647314,74.065592
agent,4.851054,606829.988833
agers,5.4129896,3171.510783
aggag,2.2203584,3.165160
agger,4.246159,431.427591
aggie,4.2008657,100.254735
aggri,3.8926914,4.916715
aggro,3.933362,181.275186
aggry,3.7090795,13.576232
aghas,4.0601015,95.236041
agidi,3.7368972,10.729332
agila,4.0545607,13.673981
agile,5.083863,9085.941264
aging,3.7997055,79632.277225
agios,5.2137423,35.937485
agism,4.6807904,42.009358
agist,4.9280124,59.843823
agita,4.052172,189.839574
aglee,4.399245,32.562875
aglet,5.042666,58.971163
agley,4.862689,117.702442
agloo,3.9436102,1.817662
aglow,4.1917872,2921.931557
aglus,4.9358783,3.039997
agmas,4.1965723,2.010687
agoge,4.1955624,56.445594
agogo,3.0921805,37.700811
agone,5.026649,816.774123
agons,5.147573,58.725148
agony,4.5457788,43666.715819
agood,3.8586116,568.708068
agora,4.164265,1792.573171
agree,4.556096,530029.204368
agria,4.2090673,51.499428
agrin,4.8465495,192.339434
agros,5.322361,247.441889
agrum,4.3913703,127.002568
agued,4.710787,37.043322
agues,5.3060384,646.158391
aguey,4.686001,5.479818
aguna,3.790557,37.666201
agush,4.415658,3.565523
aguti,4.5024633,45.890954
ahead,4.197704,324863.283137
aheap,4.064207,41.306510
ahent,4.961679,6.400776
ahigh,3.656532,150.220732
ahind,4.6782227,24.647149
ahing,4.420697,25.991864
ahint,4.8081274,138.069216
ahold,4.732502,1076.593932
ahole,5.1695166,40.384281
ahull,3.8317847,96.739042
ahuru,3.8381145,7.595856
aidas,4.7661924,8.426711
aided,4.5155673,83898.551955
aider,5.415075,1417.816841
aides,5.7473845,19983.949062
aidoi,4.2054543,1.478193
aidos,5.4519544,85.530731
aiery,5.2983694,32.042455
aigas,4.604597,3.753370
aight,4.4858294,162.032495
ailed,5.3802347,1630.647368
aimag,3.928539,147.013037
aimak,3.9353435,72.991200
aimed,5.1409655,156824.613840
aimer,5.3900595,673.772747
ainee,4.8683186,19.307102
ainga,4.1122575,7.328355
aioli,4.430678,259.961282
aired,5.53197,10614.605350
airer,4.9017863,52.499475
airns,5.732553,48.812877
airth,5.0590763,200.263858
airts,5.777387,63.649245
aisle,5.718468,31693.922971
aitch,4.5613155,142.454224
aitus,5.402761,7.754992
aiver,4.978345,47.610437
aixes,5.159392,4.177047
aiyah,3.9488068,5.368169
aiyee,4.57838,5.346267
aiyoh,4.6334233,3.131849
aiyoo,4.125803,1.412990
aizle,4.787466,2.485559
ajies,5.153142,3.091410
ajiva,3.029393,42.568785
ajuga,3.0894892,35.081983
ajupa,3.1930768,2.633884
ajwan,3.044757,7.970038
akara,3.387297,96.142722
akees,4.7281656,5.699514
akela,4.186763,7.705057
akene,4.265298,113.207237
aking,4.3087707,1420.298416
akita,4.048929,17.406872
akkas,3.5389297,3.110589
akker,4.217274,34.101717
akoia,4.0945573,1.228708
akoja,3.2515895,1.060749
akoya,3.7500055,7.824774
aksed,5.043468,27.588235
akses,4.672517,3.948483
alaap,3.4246397,16.994283
alack,3.737703,744.403233
alala,2.8809125,54.079530
alamo,4.183198,56.609045
aland,4.208623,341.190813
alane,4.6972313,229.086556
alang,3.9519703,522.953383
alans,4.7678833,10.864684
alant,4.3290224,21.852797
alapa,3.4391983,57.223519
alaps,4.579833,6.171012
alarm,4.2035546,114353.345679
alary,4.2932444,308.139397
alata,3.6840122,1148.564996
alate,4.7492433,872.920765
alays,4.4988914,23.837218
albas,4.4671183,60.148026
albee,4.430665,18.867272
albid,4.6470423,25.535633
album,4.2607336,40725.675186
alcea,4.4786887,13.344420
alces,5.5950775,243.883142
alcid,4.7409573,36.239365
alcos,5.2906456,4.364450
aldea,4.5478134,141.912359
alder,5.2891645,6841.567995
aldol,4.1318235,1350.608912
aleak,4.2610254,39.470094
aleck,4.6377835,429.043875
alecs,5.4425845,22.671016
aleem,4.4667993,4.221964
alefs,5.1855035,5.103791
aleft,4.756508,15.448527
aleph,4.7469616,477.221010
alert,5.3685374,75528.551311
alews,5.173983,0.093827
aleye,4.393237,3.304554
alfas,4.2936454,7.320047
algae,4.4008236,37989.574936
algal,3.2206824,13975.133274
algas,4.4739547,61.351699
algid,4.657028,124.083333
algin,4.7229743,224.791490
algor,4.868833,46.990037
algos,5.2078066,67.167855
algum,4.26966,135.562972
alias,4.926886,21152.470823
alibi,3.9440432,9167.735712
alick,4.495978,14.566350
alien,5.4627476,112378.916692
alifs,5.045758,8.774892
align,4.7416477,17746.344548
alike,5.1197705,163888.408255
alims,5.3294296,15.571459
aline,5.425506,745.980095
alios,5.615997,1328.579144
alist,5.328698,347.816233
alive,4.8391585,238421.439761
aliya,4.1394095,294.036413
alkie,5.0918117,35.286374
alkin,4.699204,14.778925
alkos,5.1831045,0.093258
alkyd,4.2330666,2043.522196
alkyl,3.5602264,23304.490689
allan,3.556797,282.599294
allay,3.4374037,10185.838698
allee,4.012453,253.063886
allel,3.8331687,330.349827
allen,4.611055,1626.101873
aller,4.7100596,2598.886694
alley,4.47607,38740.044494
allin,4.299319,194.198260
allis,4.793582,178.789727
allod,4.2176538,45.230228
allot,4.345697,6449.392757
allow,3.8016791,748216.731367
alloy,4.167419,99680.643159
allus,4.551599,742.518521
allyl,3.134387,4350.750086
almah,3.8722253,65.950304
almas,4.606139,163.702460
almeh,4.914803,8.583160
almes,5.6443334,294.350786
almud,4.5340314,42.857462
almug,4.294272,85.310735
alods,5.3861237,14.244786
aloed,5.3198204,3.972933
aloes,5.9124985,3021.019487
aloft,4.6117706,18234.701701
aloha,4.1082797,523.212900
aloin,5.1294928,290.127781
alone,5.4097404,1051506.163949
along,4.7157335,1743499.017145
aloof,3.846144,17721.124983
aloos,4.815955,6.841763
alose,5.623306,23.521620
aloud,4.8367763,61261.084287
alowe,4.904837,44.373404
alpha,3.7656708,58913.493981
altar,4.454198,90833.516735
alter,5.4587297,153763.051469
altho,4.726686,5728.820220
altos,5.53303,588.859009
alula,3.4217215,241.075093
alums,5.104793,697.139421
alumy,4.4867196,2.766873
alure,5.332779,29.414524
alurk,4.632903,2.920874
alvar,3.8687992,98.023233
alway,3.7019026,3256.320252
amahs,4.2209177,96.702662
amain,4.1634374,1149.442452
amari,4.2301607,156.417405
amaro,4.2726126,96.920177
amass,3.7374551,3492.676075
amate,4.484492,157.126093
amaut,3.9629016,15.410484
amaze,3.7390769,4175.249768
amban,3.705878,75.732432
amber,4.878789,22519.721447
ambit,4.4918003,5821.123769
amble,4.771534,1315.784234
ambos,4.9186263,257.905323
ambry,4.34012,54.309315
ameba,3.9357533,774.298096
ameer,4.527923,88.005600
amend,4.836732,276838.733197
amene,4.39338,78.754283
amens,5.404102,235.269614
ament,4.9752674,583.033787
amias,4.655844,7.166286
amice,4.9409904,348.304719
amici,3.7790806,2314.453402
amide,5.0123672,9463.241232
amido,4.6963806,1320.629443
amids,5.1100307,108.034827
amies,5.6625123,266.196786
amiga,3.830654,214.595969
amigo,4.5352197,1290.559618
amine,5.1645927,17676.023407
amino,4.8351493,122338.316289
